SUB_TYPE,FOLDER_DESCRIPTION,APPLICANT_ORGANIZATION,COMPANY_TYPES
Private Sound Amplification,Included in the 96 hour permit for High Beam,Fast Folks,Retail
Private Sound Amplification,"Single day amplified sound permit for Outdoor Voices Public Event on Saturday, March 9, 2019 from 10am-2pm (including sound checks, etc.)",DEMARIS ENTERTAINMENT,Entertainment
Private Sound Amplification,"Single day amplified sound permit for Austin Pets Alive event on Saturday, April 7th, 2018.",Austin Pets Alive!,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Tea Embassy,Retail
Private Sound Amplification,,Amy's Ice Cream,Food Service
Advertising Sound Amplification,,"THE STAGE ON SIXTH, INC.",Entertainment
Advertising Sound Amplification,,Tucson Closet Gold,Retail
Advertising Sound Amplification,,Casa Chapala Mexican Grill & Tequila Bar,Food Service
Advertising Sound Amplification,,St Vincent De Paul,Non-profit/Charitable Organizations
Advertising Sound Amplification,,BLACKBERRY SOCIAL CLUB,Food Service
Advertising Sound Amplification,,Marsh,Finance
Outdoor Music Venue,,Jollyville Bar and Gill,Food Service
Advertising Sound Amplification,,ATX Television Festival Inc,Entertainment
Private Sound Amplification,,"Localiter, LLC",Other
Outdoor Music Venue,Application for new outdoor music venue permit at existing cocktail lounge.,"Scenic PG, LLC",Other
Advertising Sound Amplification,,"Texas Investment Fund, LLC dba The Rooftop",Food Service
Government Amplified Sound,Event for free medical services,Greater Mt. Zion Baptist Church,Non-profit/Charitable Organizations
Government Amplified Sound,Event at Religious Assembly,The Sanctuary,Non-profit/Charitable Organizations
Private Sound Amplification,,Surplus Holdings,Other
Advertising Sound Amplification,,Cowboy Harley-Davidson of Austin,Retail
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Cosmic Saltillo,Food Service
Outdoor Music Venue,,Heartfelt Hospitality,Hospitality
Outdoor Music Venue,,"ARJ Entertainment, Inc.",Entertainment
Private Sound Amplification,"Single day amplified sound permit for Planned Parenthood of Great Texas Austin Annual Dinner on Saturday, September 29, 2018.",PPGT,Non-profit/Charitable Organizations
Advertising Sound Amplification,,FRONT GATE SOLUTIONS,Technology
Advertising Sound Amplification,,Conjunctured LLC,Other
Advertising Sound Amplification,,C3 Group,Entertainment
Advertising Sound Amplification,"Amplified sound permit for Destination: ipsy event in portion of private parking area March 15-17, 2019.",Ipsy,Retail
Private Sound Amplification,"Single day amplified sound permit for event on Wednesday, March 13, 2019.",ConsenSys Inc,Technology
Outdoor Music Venue,,"Lone Star Bean, LLC",Food Service
Advertising Sound Amplification,SXSW Official Venue,Vice Media,Entertainment
Outdoor Music Venue,,HICKORY STREET AUSTIN LLC,Food Service
Advertising Sound Amplification,"Single day amplified sound permit for event on March 14th, 2017.",Tequila Mockingbird,Food Service
Government Amplified Sound,Event benifiting Food Allergy Research Education,Food Allergy Research & Education,Non-profit/Charitable Organizations
Government Amplified Sound,,Art Alliance Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,REBECCA ARREAGA,Other
Public Sound Amplification,,The Amala Foundation,Non-profit/Charitable Organizations
Outdoor Music Venue,,NEW PINK AVOCADO LLC dba PINK AVOCADO,Food Service
Outdoor Music Venue,Application to renew outdoor music venue permit.,Sai Seven Hills LLC,Hospitality
Advertising Sound Amplification,,Quality Seafood Market,Food Service
Advertising Sound Amplification,Voided due to being within 100' of residential property,The Office Lounge,Food Service
Advertising Sound Amplification,,Wind-Up Records/Conchord Music Group Inc,Entertainment
Government Amplified Sound,,Falling Whistles; Lupe Arts,Non-profit/Charitable Organizations
Advertising Sound Amplification,,ATX Brands LLC,Other
Concrete Pouring,Application for type 2 non-peak hour (Midnight - 6am) concrete installation permit.,HARVEY CLEARY BUILDERS,Construction
Advertising Sound Amplification,,Rock Austin with Launch Rock,Entertainment
Advertising Sound Amplification,,Adelberts Brewery LLC,Food Service
Advertising Sound Amplification,,DNA Events Inc,Entertainment
Advertising Sound Amplification,,"MCGARRAH JESSEE, L.P.",Other
Advertising Sound Amplification,,Austin Food Park,Food Service
Advertising Sound Amplification,Temporary amplified sound permit for Restoration Hardware private grand opening event 09/14/2016.,Corso Agency,Other
Government Amplified Sound,,Shady Tree Studios,Entertainment
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,Empire Control Room & Garage,Entertainment
Outdoor Music Venue,,Deonton Norway LLC,Other
Outdoor Music Venue,Application to renew annual music venue permit.,MOHAWK,Entertainment
Advertising Sound Amplification,,Music & Events Group,Entertainment
Advertising Sound Amplification,"Amplified sound permit for Due West and Atlassian events in lawn area of Seaholm on May 10th and May 19th, 2018.",Big Medium,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Google Village at SXSW,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Little Woodrows,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Javelina Bar,Food Service
Outdoor Music Venue,Application for annual music venue permit.,The Stay Put,Food Service
Outdoor Music Venue,Application to renew annual music venue permit,La Condesa / Malverde,Food Service
Advertising Sound Amplification,Reminder of Permit on 2015-024153-SO.,Track Marketing Group LLC,Other
Advertising Sound Amplification,,PetRelocation,Transportation
Advertising Sound Amplification,,Australian Cattle God Records,Entertainment
Outdoor Music Venue,,The Stage on Sixth Inc,Entertainment
Outdoor Music Venue,Application for annual outdoor music venue permit.,K9 Entertainment LLC. DBA Mutts Canine Cantina,Food Service
Outdoor Music Venue,,THE DOWNTOWN AUSTIN GROUP,Finance
Advertising Sound Amplification,,EAST BY NORTHEAST,Entertainment
Moving Vehicle,,CanWeMeet LLC,Technology
Government Amplified Sound,,Austin Restoration Ministry,Non-profit/Charitable Organizations
Private Sound Amplification,,Zoja A. Ulesoo,Other
Advertising Sound Amplification,within 100' of residential property,La Reyna Restaurant,Food Service
Advertising Sound Amplification,,Rock N Roll Rentals Inc,Retail
Advertising Sound Amplification,,Michael P. Brown,Other
Advertising Sound Amplification,,AOL,Technology
Government Amplified Sound,,Rosary Rally,Non-profit/Charitable Organizations
Private Sound Amplification,,Austin Peace Pipez,Retail
Advertising Sound Amplification,Withdrawn - No amplified sound outdoors,Lomography Austin,Retail
Outdoor Music Venue,Application for annual music venue permit.,Punch Bowl Social,Entertainment
Outdoor Music Venue,,"Rattle Inn Austin, LLC",Food Service
Advertising Sound Amplification,96 hour permit - duplicate entry,"EAST FIRST CONCERT HALL, INC.",Entertainment
Private Sound Amplification,Birthday party,El Rival Club,Entertainment
Advertising Sound Amplification,"Multi-day amplified sound permit for events on May 6, 12, 13 & 14, 2017.","Shoal Creek Entertainment Group, LLC",Entertainment
Outdoor Music Venue,Application for annual music venue permit,Barcelona-Austin LLC,Food Service
Advertising Sound Amplification,,WeAre78704.com,Other
Private Sound Amplification,"Single day amplified sound permit for live music event connecting local churches and non-profits on Friday, July 9th, 2021 from 7PM - 9PM.",EveryHeart Movement,Non-profit/Charitable Organizations
Advertising Sound Amplification,"Single day amplified sound permit for Outpost Trading Company spring event on Tuesday, March 13, 2018.",Outpost Trading Co,Retail
Advertising Sound Amplification,,Capital Live Entertainment,Entertainment
Advertising Sound Amplification,,BeCore,Other
Advertising Sound Amplification,,Mellow Johnny's Bike Shop,Retail
Advertising Sound Amplification,,Guns & Oil Brewing USA LLC,Food Service
Advertising Sound Amplification,,Justinian & Associates,Other
Advertising Sound Amplification,,Ponder and Ponder Parternship,Other
Outdoor Music Venue,,"Catering by Baby Acapulco, Inc. dba Baby Acapulco Restaurant No. 5",Food Service
Government Amplified Sound,"The Domain in front of Kona Grill & The Zara's building 11600 Century Oaks Terrace, Austin, TX",Sole Success dba Parent Rise,Non-profit/Charitable Organizations
Outdoor Music Venue,,Third Base Southpark Meadows,Food Service
Outdoor Music Venue,Application for outdoor music venue permit,"Punch Bowl Austin, LLC",Entertainment
Advertising Sound Amplification,,Star of Texas Events,Entertainment
Outdoor Music Venue,,THE CONTEMPORARY AUSTIN,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for 17th annual St. Patrick's Day event on March 17, 2018.",CELTIC CULTURAL CENTER OF TEXAS,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Easy Tiger LLC,Food Service
Outdoor Music Venue,,The Belmont,Entertainment
Advertising Sound Amplification,,ES Productions,Entertainment
Outdoor Music Venue,Application for outdoor music venue permit for Jack & Gingers Irish Pub.,"Jack & Ginger Rock Rose, INC",Food Service
Private Sound Amplification,"Single day amplified sound permit for annual St. Patrick's Day Austin event on Sunday, March 17, 2018.",AUSTIN CELTIC FESTIVAL,Entertainment
Outdoor Music Venue,Application for outdoor music venue permit for Rose Room / 77 Degrees.,Rose Room Restaurant LLC,Food Service
Advertising Sound Amplification,,Uchi Sushi,Food Service
Advertising Sound Amplification,,Thicket,Retail
Private Sound Amplification,,Alamo Drafthouse Cinema,Entertainment
Advertising Sound Amplification,"Multi-day amplified sound permit for ACLU event March 8-10, 2019 in portion of vacant lot.",Mars on Gravity,Entertainment
Advertising Sound Amplification,,Woods Fun Center,Retail
Outdoor Music Venue,Application for annual outdoor music venue permit.,The Rainey House 76 LLC,Food Service
Outdoor Music Venue,,"Lipstick 24, LLC",Food Service
Private Sound Amplification,,"SHINY OBJECT, INC.",Other
Advertising Sound Amplification,"Sound permit for multi-day event March 8-14, 2018.",Off Piste As,Other
Advertising Sound Amplification,"Amplified sound permit for 'Kegs and Eggs' 2 day event March 17th & 18th, 2017.",Pop2Life,Other
Private Sound Amplification,"Amplified sound permit for 4-day event at Latchkey March 15-18, 2018.",Loboxcar LLC,Food Service
Advertising Sound Amplification,,Car2Go,Transportation
Private Sound Amplification,,Martin Herrera,Other
Private Sound Amplification,,GYPSY STREETWEAR,Retail
Government Amplified Sound,,Partnership for Children,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Yum Yum Frozen Yogurt  LLC.,Food Service
Advertising Sound Amplification,,Black Star Co-op Pub and Brewery,Food Service
Outdoor Music Venue,,Headhunters Club,Food Service
Private Sound Amplification,"Single day amplified sound permit for OUTLOUD: An Unofficial SXSW Showcase at University Baptist Church on Friday, March 15, 2019 from 11AM-9PM.",University Baptist Church,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Wild Sky Events,Other
Advertising Sound Amplification,"Multi-day amplified sound permit for Second Play Stage event March 10th-19th, 2017.  Event is on the 10th street side of the property near Waller Creek (address point: 612 1/2 E 10TH ST).","Austin Capitol Hotel Operator, Inc",Hospitality
Advertising Sound Amplification,Amplified sound permit for You Tube Copper Tank event (primarily indoor sound at the Copper Tank with ambient level sound at the adjacent vacant lot at 318 E 5TH ST).,Say OK,Entertainment
Private Sound Amplification,"Amplified sound permit for Second Play Stage event March 13-16, 2019.",Stephen F Austin Royal Sonesta Hotel,Hospitality
Advertising Sound Amplification,,Whole Foods Market Inc,Retail
Advertising Sound Amplification,,Janitzio Mexican Restaurant,Food Service
Advertising Sound Amplification,,Comfort Suites NW Lakeline,Hospitality
Outdoor Music Venue,,REDS PORCH,Food Service
Private Sound Amplification,"Single day amplified sound permit for Onnit Christmas Party on Friday, December 15th, 2017.","Onnit Academy, LLC",Healthcare
Advertising Sound Amplification,,GayBiGayGay,Entertainment
Advertising Sound Amplification,,"Capitol City Barber Shop, LLC",Retail
Advertising Sound Amplification,,Radio Coffee LLC,Food Service
Government Amplified Sound,Permit for charitable American Diabetes Association,American Diabetes Association,Non-profit/Charitable Organizations
Advertising Sound Amplification,,"Asian Orange Investment Group, LLC dba Juicy Tart",Food Service
Advertising Sound Amplification,,ATX Television Festival,Entertainment
Advertising Sound Amplification,,Beauty Bar East,Food Service
Advertising Sound Amplification,,Lovey's Loot Boutique,Retail
Advertising Sound Amplification,,Utopiafest LLC,Entertainment
Advertising Sound Amplification,,KFMK SPIRIT 105.9,Entertainment
Advertising Sound Amplification,Taste North Austin,"Event Marketing Group, Inc.",Other
Advertising Sound Amplification,,Frontier Bar LLC DBA FRON,Food Service
Advertising Sound Amplification,,318 Fifth L P,Other
Private Sound Amplification,,Spirit Fitness LLC,Healthcare
Government Amplified Sound,,Messiah Lutheran Church,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for annual outdoor music venue permit.,Whole Foods Market Corporate,Retail
Advertising Sound Amplification,,Dobie Center,Hospitality
Outdoor Music Venue,Permit appealed to Council and Council approved appeal 7-0,Who Is Guy Grand...Sustainable Waves,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,KUNG FU SALOON,Entertainment
Advertising Sound Amplification,,La Condesa/Malverde,Food Service
Private Sound Amplification,,"IDEAL WHEELS, INC. DBA BUD'S MOTORCYCLE SHOP",Retail
Outdoor Music Venue,,Joe's Place,Food Service
Advertising Sound Amplification,"Single day amplified sound permit for NadaMoo Scoop Shop Grand Opening event on Sunday, July 15, 2018.","Little Red Rooster Ice Cream Co, DBA NADAMOO!",Food Service
Public Sound Amplification,,Randi Shade re-election,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Target Corporation,Retail
Private Sound Amplification,,11e5,Unknown
Advertising Sound Amplification,,Double Down Lounge,Food Service
Private Sound Amplification,"Single day sound permit for event on Sunday August 13th, 2017.",The White Horse,Entertainment
Government Amplified Sound,Temporary event for charitable orginization.,Dogtoberfest Austin,Entertainment
Advertising Sound Amplification,,Equinox Mish Mash,Entertainment
Private Sound Amplification,,Alamo Drafthouse,Entertainment
Advertising Sound Amplification,A one day event in the CBD with an estimated attendance of 100 people. Amplified sound will  come from public address and a DJ.,Shatterproof,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for AIAS Opening Night event on December 29th, 2017.",The American Institute of Architecture Students,Non-profit/Charitable Organizations
Advertising Sound Amplification,,HOTEL SAN JOSE,Hospitality
Private Sound Amplification,,"NOMAD SOUND, INC.",Entertainment
Outdoor Music Venue,,Roppolo'S Pizzeria,Food Service
Private Sound Amplification,,The Pie Society LLC,Food Service
Advertising Sound Amplification,"Temp sound permit for Startup Crawl event on Thursday, October 6th, 2016.",Red Velvet Events,Other
Private Sound Amplification,,HOG IN THE WALLER,Food Service
Private Sound Amplification,,BMF Media Group LLC,Other
Outdoor Music Venue,Application for annual Outdoor Music Venue permit.,Austin Marriott Downtown,Hospitality
Outdoor Music Venue,,Paggi House,Food Service
Advertising Sound Amplification,,Movember Foundation,Non-profit/Charitable Organizations
Advertising Sound Amplification,,BABY BLUE STUDIO,Entertainment
Private Sound Amplification,"Amplified sound permit for Wander/Gather spring event at Wolf House March 8, 10, 13, 15, 2019.",Wolf Hospitality LLC,Hospitality
Advertising Sound Amplification,,WCG/INTEL 2012 GEEK-A-QUE,Entertainment
Private Sound Amplification,,Lucky J's,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,CEDAR DOOR,Food Service
Outdoor Music Venue,Application for annual outdoor music venue permit.,GOLDEN HOUR GROUP LLC,Other
Outdoor Music Venue,,East Avenue Lounge LLC,Food Service
Advertising Sound Amplification,,Silverton Partners,Finance
Advertising Sound Amplification,High Beams Event,Amplify Credit Union,Finance
Advertising Sound Amplification,,Pershing East LLC,Entertainment
Advertising Sound Amplification,"Multi-day amplified sound permit for 3 different events at CoTA (BP MS150 on Sunday April 29 10am-6pm, JMBLYA on Saturday May 5 Noon-11pm, and DIRTYBIRD BBQ on Saturday May 19, 2018 from 10am-10pm).",Scoremore Holdings LLC,Entertainment
Advertising Sound Amplification,"Multiday sound permit for Carvana SXSW event Friday March 10th - Wednesday March 15th, 2017.",Carvana,Retail
Advertising Sound Amplification,,Kapa Delta Sorority,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Hammer and Associates,Other
Advertising Sound Amplification,,South Sound Productions,Entertainment
Outdoor Music Venue,,Baby Acapulco Mexican Resturant,Food Service
Advertising Sound Amplification,,Texas Toast Jam 2,Entertainment
Outdoor Music Venue,,Austin Blend LP,Other
Advertising Sound Amplification,,"Zumiez, Inc.",Retail
Government Amplified Sound,Permit for a charitable orginization (The Trail Foundation). Applicant never picked up permit.,Town Lake Trail Foundation,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Revival Cycles,Retail
Advertising Sound Amplification,,Mi Madre's Mexican Restaurant,Food Service
Outdoor Music Venue,,Hush on Congress,Food Service
Public Sound Amplification,,The Hitting Stops Here!,Non-profit/Charitable Organizations
Advertising Sound Amplification,,"LMMM Austin 4 LTD., DBA LA MICHOACANA 4 AUSTIN",Food Service
Outdoor Music Venue,Application for annual music venue permit.,**DO NOT USE**,Unknown
Advertising Sound Amplification,,Front Gate Ticket Solutions LLC,Technology
Advertising Sound Amplification,,NEIL COLEMAN DBA PRO-JEX,Other
Outdoor Music Venue,No permit obtained for stage and deck,VILLAFRANCA INC DBA Villa Taco Shack,Food Service
Advertising Sound Amplification,,The North Door,Entertainment
Advertising Sound Amplification,,South Congress Hotel,Hospitality
Private Sound Amplification,,LG Source LLC,Other
